Země;Průměrná mzda;Směnný kurz k EUR;Rok (čtvrtletí);EU
Albania;ALL 66014;0,00939;2022-Q4;ne
Armenia;֏ 239742;0,0024;2022-Q3;ne
Austria;€ 4104;1;2023-Q1;ano
Azerbaijan;₼ 766;0,55;2022-Q1;ne
Belarus;BYN 1933;0,374;2023-07;ne
Belgium;€ 3832;1;2022-Q3;ano
Bosnia and Herzegovina;BAM 1967;0,5113;2023-Q2;ne
Bulgaria;BGN 1957;0,5113;2023-Q2;ano
Croatia;€ 1590;1;2023-Q2;ano
Cyprus;€ 2217;1;2023-Q1;ano
Czech Republic;CZK 43193;0,0412;2023-Q2;ano
Denmark;DKK 45482;0,13426;;ano
Estonia;€ 1981;1;2023-06;ano
Finland;€ 3734;1;2021-Q1;ano
France;€ 3530;1;2022-Q2;ano
Georgia;₾ 1541;0,35;2022-Q2;ne
Germany;€ 4379;1;2023-Q1;ano
Greece;€ 1381;1;2023-Q2;ano
Hungary;HUF 577900;0,002622;2023-Q1;ano
Iceland;ISK 721000;0,00689;;ne
Ireland;€ 4002;1;2023-Q1;ano
Italy;€ 2479;1;2022-Q1;ano
Kazakhstan;₸ 365502;0,002;2023-Q2;ne
Kosovo;€ 521;1;;ne
Latvia;€ 1545;1;2023-Q2;ano
Liechtenstein;CHF 6852;1,045;;ne
Lithuania;€ 2000;1;2023-Q2;ano
Luxembourg;€ 5411;1;;ano
Malta;€ 1706;1;2022-Q3;ano
Moldova;MDL 12175,9;0,05174;2023-Q2;ne
Montenegro;€ 995;1;2023-08;ne
Netherlands;€ 4191;1;2022-Q1;ano
North Macedonia;MKD 51387;0,0162;2022-Q3;ne
Norway;NOK 53150;0,0869;2022-Q3;ne
Poland;PLN 7153;0,2188;2023-Q1;ano
Portugal;€ 1679;1;2022-Q2;ano
Romania;RON 7317;0,20125;2023-07;ano
Russia;₽ 73534;0,0097;2023-Q2;ne
San Marino;€ 2629;1;2023-06;ne
Serbia;RSD 118992;0,0085;2023-Q2;ne
Slovakia;€ 1327;1;2023-Q1;ano
Slovenia;€ 2182;1;2023-Q2;ano
Spain;€ 2471;1;2023-Q2;ano
Sweden;SEK 45470;0,0842;2023-Q1;ano
Switzerland;CHF 6665;1,045;2022-Q3;ne
Turkey;₺ 18080;0,0348;2023-08;ne
Ukraine;₴ 14577;0,0255;2022-Q1;ne
United Kingdom;£ 2674;1,16;;ne