a,a
ability,schopnost
able,schopen
about,o
above,nad
accept,prijmout
according,podle
account,ucet
across,na adrese
act,akt
action,akce
activity,cinnost
actually,vlastne
add,pridat
address,adresa
administration,sprava
admit,pripustit
adult,pro dospele
affect,ovlivnit
after,po
again,opet
against,proti
age,vek
agency,agentura
agent,agent
ago,pred
agree,souhlasim
agreement,dohoda
ahead,dopredu
air,vzduch
all,vsechny
allow,povolit
almost,temer
alone,samostatne
along,podel
already,jiz
also,take
although,ackoli
always,vzdy
American,Americky
among,mezi
amount,castka
analysis,analyza
and,a
animal,zvirata
another,dalsi
answer,odpoved
any,jakykoli
anyone,kdokoli
anything,cokoli
appear,se objevi na adrese
apply,pouzit
approach,pristup
area,oblast
argue,argumentovat
arm,rameno
around,v okoli
arrive,dorazit na
art,art
article,clanek
artist,umelec
as,jako
ask,zeptejte se
assume,predpokladejme ze
at,na adrese
attack,utok
attention,Pozor
attorney,advokat
audience,publikum
author,autor
authority,urad
available,k dispozici na
avoid,vyhnout se
away,pryc
baby,baby
back,zpet
bad,spatny
bag,taska
ball,mic
bank,banka
bar,bar
base,zakladna
be,byt
beat,porazit
beautiful,krasne
because,protoze
become,stat se
bed,postel
before,pred
begin,zacit
behavior,chovani
behind,za
believe,verit
benefit,benefit
best,nejlepsi
better,lepsi
between,mezi
beyond,mimo
big,velky
bill,bill
billion,miliarda
bit,bit
black,cerna
blood,krev
blue,modra
board,deska
body,telo
book,kniha
born,born
both,oba
box,box
boy,chlapec
break,prestavka
bring,prinest
brother,bratr
budget,rozpocet
build,sestavit
building,budova
business,podnikani
but,ale
buy,koupit
by,podle
call,zavolejte na
camera,kamera
campaign,kampan
can,muze
cancer,rakovina
candidate,kandidat
capital,kapital
car,auto
card,karta
care,pece
career,kariera
carry,prenaset
case,pripad
catch,zachytit
cause,pricina
cell,bunka
center,centrum
central,centralni
century,stoleti
certain,nektere
certainly,urcite
chair,zidle
challenge,vyzva
chance,chance
change,zmena
character,znak
charge,nabijeni
check,zkontrolujte
child,dite
choice,vyber
choose,vyberte si
church,kostel
citizen,obcan
city,mesto
civil,civilni
claim,reklamace
class,trida
clear,prehledne
clearly,jasne
close,zavrit
coach,trener
cold,studene
collection,sbirka
college,vysoka skola
color,barva
come,prijdte
commercial,komercni
common,spolecne
community,komunita
company,spolecnost
compare,porovnat
computer,pocitac
concern,obavy
condition,stav
conference,konference
Congress,Kongres
consider,zvazte
consumer,spotrebitel
contain,obsahuji
continue,pokracovani
control,ovladani
cost,naklady
could,mohl
country,zeme
couple,par
course,kurz
court,soud
cover,kryt
create,vytvorit
crime,zlocin
cultural,kulturni
culture,kultura
cup,salek
current,aktualni
customer,zakaznik
cut,rez
dark,tmave
data,data
daughter,dcera
day,den
dead,mrtvy
deal,dohoda
death,smrt
debate,debata
decade,desetileti
decide,rozhodnout
decision,rozhodnuti
deep,hluboke
defense,obrana
degree,stupen
Democrat,Demokrat
democratic,demokraticke
describe,popsat
design,design
despite,navzdory
detail,detail
determine,urcit
develop,rozvijet
development,vyvoj
die,die
difference,rozdil
different,ruzne
difficult,obtizne
dinner,vecere
direction,smer
director,reditel
discover,objevte
discuss,diskutovat
discussion,diskuse
disease,onemocneni
do,do
doctor,doktor
dog,pes
door,dvere
down,dolu
draw,kreslit
dream,sen
drive,pohon
drop,drop
drug,drogy
during,behem
each,kazdy
early,brzy
east,vychodni
easy,snadno
eat,jist
economic,ekonomicke
economy,ekonomika
edge,edge
education,vzdelavani
effect,ucinek
effort,usili
eight,osm
either,bud
election,volby
else,jinak
employee,zamestnanci
end,konec
energy,energie
enjoy,uzijte si
enough,dostatek
enter,zadejte
entire,cely
environment,prostredi
environmental,zivotni prostredi
especially,zejmena
establish,zridit
even,i
evening,vecer
event,udalost
ever,ever
every,kazdy
everybody,vsichni
everyone,vsichni
everything,vse
evidence,dukazy
exactly,presne
example,priklad
executive,executive
exist,existuji
expect,ocekavejte
experience,zkusenosti
expert,odbornik
explain,vysvetlit
eye,oko
face,oblicej
fact,skutecnost
factor,faktor
fail,fail
fall,podzim
family,rodina
far,daleko
fast,rychle
father,otec
fear,strach
federal,federalni
feel,citit
feeling,pocit
few,nekolik
field,pole
fight,boj
figure,obrazek
fill,vyplnit
film,film
final,finalni
finally,konecne
financial,financni
find,najit
fine,jemne
finger,prst
finish,dokonceni
fire,pozar
firm,firma
first,prvni
fish,ryby
five,pet
floor,podlaha
fly,fly
focus,zamereni
follow,sledovat
food,potraviny
foot,noha
for,pro
force,force
foreign,zahranicni
forget,zapomente na
form,formular
former,byvaly
forward,dopredu
four,ctyri
free,zdarma
friend,pritel
from,z
front,predni
full,kompletni
fund,fond
future,budoucnost
game,hra
garden,zahrada
gas,plyn
general,obecne
generation,generace
get,ziskejte
girl,divka
give,poskytnout
glass,sklo
go,prejit na
goal,cil
good,dobre
government,vlada
great,skvele
green,zelena
ground,pozemni
group,skupina
grow,pestovat
growth,rust
guess,hadejte
gun,zbran
guy,guy
hair,vlasy
half,polovina
hand,rucne
hang,zavesit
happen,se stalo
happy,stastny
hard,hard
have,maji
he,on
head,hlava
health,zdravi
hear,slyset
heart,srdce
heat,teplo
heavy,heavy
help,napoveda
her,jeji
here,zde
herself,sama
high,vysoka
him,ho
himself,sam
his,jeho
history,historie
hit,zasahnout
hold,podrzet
home,home
hope,nadeje
hospital,nemocnice
hot,hot
hotel,hotel
hour,hodina
house,dum
how,jak
however,nicmene
huge,obrovsky
human,clovek
hundred,sto
husband,manzel
I,I
idea,napad
identify,identifikovat
if,pokud
image,obrazek
imagine,predstavte si
impact,dopad
important,dulezite
improve,zlepsit
in,na adrese
include,zahrnout
including,vcetne
increase,zvysit
indeed,skutecne
indicate,oznacit
individual,individualni
industry,prumysl
information,informace
inside,uvnitr
instead,misto toho
institution,instituce
interest,urok
interesting,zajimave
international,mezinarodni
interview,rozhovor
into,na
investment,investice
involve,zapojit
issue,vydani
it,to
item,polozka
its,jeho
itself,sam
job,prace
join,pripojit se k
just,jen
keep,zachovat
key,klic
kid,dite
kill,zabit
kind,laskavy
kitchen,kuchyne
know,znat
knowledge,znalosti
land,pozemek
language,jazyk
large,velke
last,posledni
late,pozde
later,pozdeji
laugh,smich
law,pravo
lawyer,pravnik
lay,lay
lead,olovo
leader,vedouci
learn,naucit se
least,nejmene
leave,opustit
left,vlevo
leg,noha
legal,pravni
less,mene
let,nechat
letter,dopis
level,uroven
lie,lez
life,life
light,svetlo
like,jako
likely,pravdepodobne
line,radek
list,seznam
listen,poslechnete si
little,little
live,zive
local,mistni
long,dlouhy
look,podivejte se na
lose,ztratit
loss,ztrata
lot,sarze
love,laska
low,nizka
machine,stroj
magazine,casopis
main,hlavni stranka
maintain,zachovat
major,hlavni
majority,vetsina
make,vytvorit
man,muz
manage,spravovat
management,rizeni
manager,manazer
many,mnoho
market,trh
marriage,manzelstvi
material,material
matter,zalezitost
may,kveten
maybe,mozna
me,ja
mean,prumer
measure,mereni
media,media
medical,lekarske
meet,Seznamte se s
meeting,setkani
member,clen
memory,pamet
mention,zminka
message,zprava
method,metoda
middle,stredni
might,muze
military,vojensky
million,milion
mind,mysl
minute,minuta
miss,slecna
mission,mise
model,model
modern,moderni
moment,moment
money,penize
month,mesic
more,vice
morning,rano
most,vetsina
mother,matka
mouth,usta
move,presunout
movement,pohyb
movie,film
Mr,Pan
Mrs,Pani
much,hodne
music,hudba
must,musi
my,moje
myself,sam
name,nazev
nation,narod
national,narodni
natural,prirodni
nature,priroda
near,pobliz
nearly,temer
necessary,nezbytne
need,potrebujete
network,sit
never,nikdy
new,novy
news,novinky
newspaper,noviny
next,dalsi
nice,pekne
night,noc
no,ne
none,zadne
nor,ani
north,sever
not,ne
note,poznamka
nothing,nic
notice,oznameni
now,nyni
number,cislo
occur,se vyskytuji
of,z
off,mimo
offer,nabidka
office,kancelar
officer,dustojnik
official,oficialni
often,casto
oh,oh
oil,olej
ok,ok
old,stary
on,na adrese
once,jednou
one,jeden
only,pouze
onto,na
open,otevrit
operation,operace
opportunity,prilezitost
option,moznost
or,nebo
order,objednavka
organization,organizace
other,dalsi
others,ostatni
our,nase
out,ven
outside,mimo
over,nad
own,vlastni
owner,majitel
page,stranka
pain,bolest
painting,malovani
paper,papir
parent,rodic
part,cast
participant,ucastnik
particular,konkretni
particularly,zejmena
partner,partner
party,strana
pass,predat
past,minulost
patient,pacient
pattern,vzor
pay,platit
peace,mir
people,lide
per,na
perform,provadet
performance,vykon
perhaps,mozna
period,obdobi
person,osoba
personal,osobni
phone,telefon
physical,fyzicky
pick,vybrat
picture,obrazek
piece,kus
place,misto
plan,plan
plant,rostlina
play,prehrat
player,hrac
PM,PM
point,bod
police,policie
policy,politika
political,politicky
politics,politika
poor,chudak
popular,popularni
population,populace
position,pozice
positive,pozitivni
possible,mozne
power,napajeni
practice,praxe
prepare,pripravit
present,pritomnost
president,prezident
pressure,tlak
pretty,pretty
prevent,zabranit
price,cena
private,soukrome
probably,pravdepodobne
problem,problem
process,proces
produce,vyrabet
product,produkt
production,vyroba
professional,profesionalni
professor,profesor
program,program
project,projekt
property,majetek
protect,chranit
prove,prokazat
provide,poskytnout
public,verejne
pull,vytahnout
purpose,ucel
push,push
put,vlozit
quality,kvalita
question,otazka
quickly,rychle
quite,zcela
race,zavod
radio,radio
raise,zvysit
range,rozsah
rate,sazba
rather,spise
reach,dosah
read,Prectete si
ready,pripraveno
real,skutecne
reality,realita
realize,realizovat
really,opravdu
reason,duvod
receive,prijimat
recent,nedavne
recently,nedavno
recognize,rozpoznat
record,zaznam
red,cervena
reduce,snizit
reflect,odrazeji
region,region
relate,se tykaji
relationship,vztah
religious,nabozenske
remain,zustat
remember,vzpomente si na
remove,odstranit
report,zprava
represent,reprezentovat
Republican,Republikani
require,vyzaduji
research,vyzkum
resource,zdroj
respond,reagovat
response,odpoved
responsibility,odpovednost
rest,odpocinek
result,vysledek
return,vratit
reveal,odhalit
rich,rich
right,vpravo
rise,rise
risk,riziko
road,silnice
rock,rock
role,role
room,pokoj
rule,pravidlo
run,spustit
safe,bezpecny
same,totez
save,ulozit
say,rekneme
scene,scena
school,skola
science,veda
scientist,vedec
score,skore
sea,more
season,sezona
seat,sedadlo
second,druhy
section,sekce
security,zabezpeceni
see,viz
seek,hledat
seem,Zda se ze
sell,prodavat
send,odeslat
senior,senior
sense,smysl
series,rada
serious,vazne
serve,slouzit
service,sluzba
set,nastavit
seven,sedm
several,nekolik
sex,sex
sexual,sexualni
shake,trast
share,sdilet
she,ona
shoot,strilet
short,kratky
shot,shot
should,by mel
shoulder,rameno
show,Zobrazit
side,strana
sign,znameni
significant,vyznamne
similar,podobne
simple,jednoduchy
simply,jednoduse
since,od
sing,zpivat
single,jediny
sister,sestra
sit,sedet
site,stranky
situation,situace
six,sest
size,velikost
skill,dovednost
skin,kuze
small,male
smile,usmev
so,takze
social,socialni
society,spolecnost
soldier,vojak
some,nektere
somebody,nekdo
someone,nekdo
something,neco
sometimes,nekdy
son,syn
song,pisen
soon,brzy
sort,tridit
sound,zvuk
source,zdroj
south,jih
southern,jizni
space,prostor
speak,mluvit
special,specialni
specific,specificke
speech,rec
spend,utratit
sport,sport
spring,jaro
staff,zamestnanci
stage,etapa
stand,stojan
standard,standard
star,hvezda
start,zacit
state,stat
statement,vypis
station,stanice
stay,zustat
step,krok
still,stale
stock,zasoby
stop,zastavit
store,ukladat
story,pribeh
strategy,strategie
street,ulice
strong,silna
structure,struktura
student,student
study,studium
stuff,veci
style,styl
subject,predmet
success,uspech
successful,uspesny
such,napriklad
suddenly,nahle
suffer,trpi
suggest,navrhnout
summer,leto
support,podpora
sure,jiste
surface,povrch
system,system
table,tabulka
take,prevzit
talk,diskuse
task,ukol
tax,dan
teach,ucit
teacher,ucitel
team,tym
technology,technologie
television,televize
tell,reknete
ten,deset
tend,tendence
term,termin
test,test
than,nez
thank,dekuji
that,ze
the,na
their,jejich
them,je
themselves,sami
then,pak
theory,teorie
there,tam
these,tyto
they,jsou
thing,vec
think,think
third,treti
this,tento
those,ty
though,ackoli
thought,myslenka
thousand,tisic
threat,hrozba
three,tri
through,prostrednictvim
throughout,v celem
throw,hodit
thus,tedy
time,cas
to,na
today,dnes
together,spolecne
tonight,dnes vecer
too,prilis
top,top
total,celkem
tough,tvrdy
toward,smerem k
town,mesto
trade,obchod
traditional,tradicni
training,skoleni
travel,cestovani
treat,osetreni
treatment,lecba
tree,strom
trial,zkusebni verze
trip,vylet
trouble,potize
true,Pravda
truth,pravda
try,zkuste
turn,otocit
TV,TV
two,dva
type,typ
under,pod
understand,porozumet
unit,jednotka
until,do
up,nahoru
upon,na adrese
us,nas
use,pouzit
usually,obvykle
value,hodnota
various,ruzne
very,velmi
victim,obet
view,zobrazit
violence,nasili
visit,navstivte
voice,hlas
vote,hlasovat
wait,cekat
walk,prochazka
wall,stena
want,chtit
war,valka
watch,sledovat
water,voda
way,cesta
we,my
weapon,zbran
wear,nosit
week,tyden
weight,hmotnost
well,dobre
west,zapadni
western,zapadni
what,co
whatever,cokoli
when,kdyz
where,kde
whether,zda
which,ktery
while,zatimco
white,bila
who,kdo
whole,cely
whom,koho
whose,jehoz
why,proc
wide,siroky
wife,manzelka
will,bude
win,vyhrat
wind,vitr
window,okno
wish,prani
with,s
within,v ramci
without,bez
woman,zena
wonder,zazrak
word,slovo
work,prace
worker,pracovnik
world,svet
worry,starosti
would,by
write,napsat
writer,spisovatel
wrong,spatne
yard,dvur
yeah,ano
year,rok
yes,ano
yet,presto
you,vy
young,mlady
your,vase
yourself,sami
